Country,CountryId,Gold,Silver,Bronze,Total
USA,1,39,41,33,113
Russia,2,20,28,23,71
Germany,3,10,11,16,37
UK,4,22,21,22,65
France,5,10,12,11,33
Italy,6,10,10,20,40
China,7,38,32,18,88
Australia,8,17,7,22,46
Sweden,9,3,6,0,9
Hungary,10,6,7,7,20
Japan,11,27,14,17,58
Finland,12,0,0,2,2
Canada,13,7,6,11,24
Romania,14,1,3,0,4
Netherlands,15,10,12,14,36
Poland,16,4,5,5,14
South Korea,17,6,4,10,20
Bulgaria,18,3,1,2,6
Cuba,19,7,3,5,15
Denmark,20,3,4,4,11
Switzerland,21,3,4,6,13
Czech Republic,22,4,4,3,11
Belgium,23,3,1,3,7
Norway,24,4,2,2,8
Greece,25,2,1,1,4
